,currency,event,impact,previous_value,forecast_value,actual_value
3078,EUR,Italian Prelim GDP q/q,Low Impact Expected,-1.9%,-0.5%,-0.4%
3079,EUR,Core CPI Flash Estimate y/y,Low Impact Expected,0.9%,0.8%,0.8%
3080,EUR,CPI Flash Estimate y/y,Low Impact Expected,1.3%,1.6%,1.6%
3081,EUR,Italian Prelim CPI m/m,Low Impact Expected,0.3%,0.3%,0.4%
3082,EUR,Prelim Flash GDP q/q,Low Impact Expected,-0.7%,-0.8%,-0.6%
3083,EUR,Unemployment Rate,Low Impact Expected,8.2%,8.3%,8.1%
3084,CAD,GDP m/m,Medium Impact Expected,0.7%,0.5%,0.4%
3085,CAD,IPPI m/m,Low Impact Expected,2.8%,1.5%,1.6%
3086,CAD,RMPI m/m,Low Impact Expected,6.5%,2.0%,2.3%
3087,USD,Core PCE Price Index m/m,Low Impact Expected,0.1%,0.3%,0.4%
3088,USD,Employment Cost Index q/q,Low Impact Expected,0.7%,0.7%,0.9%
3089,USD,Personal Income m/m,Low Impact Expected,-7.0%,20.1%,21.1%
3090,USD,Personal Spending m/m,Low Impact Expected,-1.0%,4.3%,4.2%
3091,USD,Chicago PMI,Low Impact Expected,66.3,65.4,72.1
3092,USD,Revised UoM Consumer Sentiment,Low Impact Expected,86.5,87.3,88.3
3093,USD,Revised UoM Inflation Expectations,Low Impact Expected,3.7%,,3.4%
3094,JPY,Tokyo Core CPI y/y,Low Impact Expected,-0.1%,0.0%,-0.2%
3095,JPY,Unemployment Rate,Low Impact Expected,2.9%,2.9%,2.6%
3096,JPY,Prelim Industrial Production m/m,Low Impact Expected,-1.3%,-2.0%,2.2%
3097,JPY,Final Manufacturing PMI,Low Impact Expected,52.7,51.6,53.6
3098,CNY,Manufacturing PMI,Medium Impact Expected,51.9,55.9,51.1
3099,CNY,Non-Manufacturing PMI,Low Impact Expected,56.3,51.8,54.9
3100,AUD,PPI q/q,Low Impact Expected,0.5%,0.3%,0.4%
3101,AUD,Private Sector Credit m/m,Low Impact Expected,0.2%,0.3%,0.4%
3102,CNY,Caixin Manufacturing PMI,Low Impact Expected,50.6,50.9,51.9
3103,JPY,Consumer Confidence,Low Impact Expected,36.1,34.3,34.7
3104,EUR,French Consumer Spending m/m,Low Impact Expected,0.3%,0.5%,-1.1%
3105,EUR,French Flash GDP q/q,Low Impact Expected,-1.4%,0.0%,0.4%
3106,GBP,Nationwide HPI m/m,Low Impact Expected,-0.3%,0.5%,2.1%
3107,CHF,Retail Sales y/y,Low Impact Expected,-6.6%,-5.4%,22.6%
3108,EUR,French Prelim CPI m/m,Low Impact Expected,0.6%,0.2%,0.2%
3109,CHF,KOF Economic Barometer,Low Impact Expected,118.0,119.5,134.0
3110,EUR,Spanish Flash GDP q/q,Low Impact Expected,0.0%,-0.5%,-0.5%
3111,EUR,Italian Monthly Unemployment Rate,Low Impact Expected,10.2%,10.3%,10.1%
3112,CHF,SNB Chairman Jordan Speaks,Medium Impact Expected,,,
3113,EUR,German Prelim GDP q/q,Medium Impact Expected,0.3%,-1.5%,-1.7%
3114,EUR,Italian Prelim GDP q/q,Low Impact Expected,-1.9%,-0.5%,-0.4%
3115,EUR,Core CPI Flash Estimate y/y,Low Impact Expected,0.9%,0.8%,0.8%
3116,EUR,CPI Flash Estimate y/y,Low Impact Expected,1.3%,1.6%,1.6%
3117,EUR,Italian Prelim CPI m/m,Low Impact Expected,0.3%,0.3%,0.4%
3118,EUR,Prelim Flash GDP q/q,Low Impact Expected,-0.7%,-0.8%,-0.6%
3119,EUR,Unemployment Rate,Low Impact Expected,8.2%,8.3%,8.1%
3120,CAD,GDP m/m,Medium Impact Expected,0.7%,0.5%,0.4%
3121,CAD,IPPI m/m,Low Impact Expected,2.8%,1.5%,1.6%
3122,CAD,RMPI m/m,Low Impact Expected,6.5%,2.0%,2.3%
3123,USD,Core PCE Price Index m/m,Low Impact Expected,0.1%,0.3%,0.4%
3124,USD,Employment Cost Index q/q,Low Impact Expected,0.7%,0.7%,0.9%
3125,USD,Personal Income m/m,Low Impact Expected,-7.0%,20.1%,21.1%
3126,USD,Personal Spending m/m,Low Impact Expected,-1.0%,4.3%,4.2%
3127,USD,Chicago PMI,Low Impact Expected,66.3,65.4,72.1
3128,USD,Revised UoM Consumer Sentiment,Low Impact Expected,86.5,87.3,88.3
3129,USD,Revised UoM Inflation Expectations,Low Impact Expected,3.7%,,3.4%
3130,AUD,AIG Manufacturing Index,Low Impact Expected,59.9,,61.7
3131,JPY,Bank Holiday,Non-Economic,,,
3132,CNY,Bank Holiday,Non-Economic,,,
3133,AUD,MI Inflation Gauge m/m,Low Impact Expected,0.4%,,0.4%
3134,AUD,ANZ Job Advertisements m/m,Low Impact Expected,7.8%,,4.7%
3135,EUR,German Retail Sales m/m,Low Impact Expected,2.7%,2.9%,7.7%
3136,AUD,Commodity Prices y/y,Low Impact Expected,27.2%,,34.7%
3137,EUR,Spanish Manufacturing PMI,Low Impact Expected,56.9,59.1,57.7
3138,CHF,Manufacturing PMI,Low Impact Expected,66.3,66.4,69.5
3139,EUR,Italian Manufacturing PMI,Low Impact Expected,59.8,60.9,60.7
3140,EUR,French Final Manufacturing PMI,Low Impact Expected,59.2,59.2,58.9
3141,EUR,German Final Manufacturing PMI,Low Impact Expected,66.4,66.4,66.2
3142,EUR,Final Manufacturing PMI,Low Impact Expected,63.3,63.3,62.9
3143,GBP,Bank Holiday,Non-Economic,,,
3144,CAD,Manufacturing PMI,Low Impact Expected,58.5,,57.2
3145,USD,Final Manufacturing PMI,Low Impact Expected,60.6,60.7,60.5
3146,USD,ISM Manufacturing PMI,Medium Impact Expected,64.7,65.0,60.7
3147,USD,Construction Spending m/m,Low Impact Expected,-0.6%,1.7%,0.2%
3148,USD,ISM Manufacturing Prices,Low Impact Expected,85.6,86.0,89.6
3149,USD,Wards Total Vehicle Sales,Low Impact Expected,17.7M,17.5M,18.5M
3150,USD,Loan Officer Survey,Low Impact Expected,,,
3151,USD,FOMC Member Williams Speaks,Low Impact Expected,,,
3152,USD,Fed Chair Powell Speaks,High Impact Expected,,,
3153,AUD,AIG Manufacturing Index,Low Impact Expected,59.9,,61.7
3154,JPY,Bank Holiday,Non-Economic,,,
3155,CNY,Bank Holiday,Non-Economic,,,
3156,AUD,MI Inflation Gauge m/m,Low Impact Expected,0.4%,,0.4%
3157,AUD,ANZ Job Advertisements m/m,Low Impact Expected,7.8%,,4.7%
3158,EUR,German Retail Sales m/m,Low Impact Expected,2.7%,2.9%,7.7%
3159,AUD,Commodity Prices y/y,Low Impact Expected,27.2%,,34.7%
3160,EUR,Spanish Manufacturing PMI,Low Impact Expected,56.9,59.1,57.7
3161,CHF,Manufacturing PMI,Low Impact Expected,66.3,66.4,69.5
3162,EUR,Italian Manufacturing PMI,Low Impact Expected,59.8,60.9,60.7
3163,EUR,French Final Manufacturing PMI,Low Impact Expected,59.2,59.2,58.9
3164,EUR,German Final Manufacturing PMI,Low Impact Expected,66.4,66.4,66.2
3165,EUR,Final Manufacturing PMI,Low Impact Expected,63.3,63.3,62.9
3166,GBP,Bank Holiday,Non-Economic,,,
3167,CAD,Manufacturing PMI,Low Impact Expected,58.5,,57.2
3168,USD,Final Manufacturing PMI,Low Impact Expected,60.6,60.7,60.5
3169,USD,ISM Manufacturing PMI,Medium Impact Expected,64.7,65.0,60.7
3170,USD,Construction Spending m/m,Low Impact Expected,-0.6%,1.7%,0.2%
3171,USD,ISM Manufacturing Prices,Low Impact Expected,85.6,86.0,89.6
3172,USD,Wards Total Vehicle Sales,Low Impact Expected,17.7M,17.5M,18.5M
3173,USD,Loan Officer Survey,Low Impact Expected,,,
3174,USD,FOMC Member Williams Speaks,Low Impact Expected,,,
3175,USD,Fed Chair Powell Speaks,High Impact Expected,,,
3176,JPY,Bank Holiday,Non-Economic,,,
3177,CNY,Bank Holiday,Non-Economic,,,
3178,AUD,Goods Trade Balance,Low Impact Expected,7.60B,8.25B,5.57B
3179,AUD,RBA Rate Statement,High Impact Expected,,,
3180,AUD,Cash Rate,Medium Impact Expected,0.10%,0.10%,0.10%
3181,EUR,French Gov Budget Balance,Low Impact Expected,-47.5B,,-60.1B
3182,CHF,SECO Consumer Climate,Low Impact Expected,-15,-11,-7
3183,GBP,Final Manufacturing PMI,Low Impact Expected,60.7,60.7,60.9
3184,GBP,M4 Money Supply m/m,Low Impact Expected,0.8%,0.7%,0.6%
3185,GBP,Mortgage Approvals,Low Impact Expected,87K,86K,83K
3186,GBP,Net Lending to Individuals m/m,Low Impact Expected,5.3B,5.0B,11.3B
3187,CAD,Building Permits m/m,Low Impact Expected,3.1%,1.6%,5.7%
3188,CAD,Trade Balance,Low Impact Expected,1.4B,0.5B,-1.1B
3189,USD,Trade Balance,Low Impact Expected,-70.5B,-74.5B,-74.4B
3190,USD,RCM/TIPP Economic Optimism,Low Impact Expected,56.4,56.1,54.4
3191,USD,Factory Orders m/m,Low Impact Expected,-0.5%,1.3%,1.1%
3192,NZD,GDT Price Index,Low Impact Expected,-0.1%,,-0.7%
3193,USD,FOMC Member Daly Speaks,Low Impact Expected,,,
3194,JPY,Bank Holiday,Non-Economic,,,
3195,CNY,Bank Holiday,Non-Economic,,,
3196,AUD,Goods Trade Balance,Low Impact Expected,7.60B,8.25B,5.57B
3197,AUD,RBA Rate Statement,High Impact Expected,,,
3198,AUD,Cash Rate,Medium Impact Expected,0.10%,0.10%,0.10%
3199,EUR,French Gov Budget Balance,Low Impact Expected,-47.5B,,-60.1B
3200,CHF,SECO Consumer Climate,Low Impact Expected,-15,-11,-7
3201,GBP,Final Manufacturing PMI,Low Impact Expected,60.7,60.7,60.9
3202,GBP,M4 Money Supply m/m,Low Impact Expected,0.8%,0.7%,0.6%
3203,GBP,Mortgage Approvals,Low Impact Expected,87K,86K,83K
3204,GBP,Net Lending to Individuals m/m,Low Impact Expected,5.3B,5.0B,11.3B
3205,CAD,Building Permits m/m,Low Impact Expected,3.1%,1.6%,5.7%
3206,CAD,Trade Balance,Low Impact Expected,1.4B,0.5B,-1.1B
3207,USD,Trade Balance,Low Impact Expected,-70.5B,-74.5B,-74.4B
3208,USD,RCM/TIPP Economic Optimism,Low Impact Expected,56.4,56.1,54.4
3209,USD,Factory Orders m/m,Low Impact Expected,-0.5%,1.3%,1.1%
3210,NZD,GDT Price Index,Low Impact Expected,-0.1%,,-0.7%
3211,USD,FOMC Member Daly Speaks,Low Impact Expected,,,
3212,NZD,RBNZ Financial Stability Report,Medium Impact Expected,,,
3213,AUD,AIG Construction Index,Low Impact Expected,61.8,,59.1
3214,NZD,Employment Change q/q,High Impact Expected,0.6%,0.3%,0.6%
3215,NZD,Unemployment Rate,High Impact Expected,4.9%,4.9%,4.7%
3216,NZD,Labor Cost Index q/q,Low Impact Expected,0.5%,0.3%,0.4%
3217,JPY,Bank Holiday,Non-Economic,,,
3218,CNY,Bank Holiday,Non-Economic,,,
3219,NZD,ANZ Commodity Prices m/m,Low Impact Expected,6.1%,,2.3%
3220,AUD,Building Approvals m/m,Low Impact Expected,20.1%,2.9%,17.4%
3221,CHF,CPI m/m,Low Impact Expected,0.3%,0.2%,0.2%
3222,EUR,Spanish Unemployment Change,Low Impact Expected,-59.1K,-70.0K,-39.0K
3223,EUR,Spanish Services PMI,Low Impact Expected,48.1,50.0,54.6
3224,EUR,Italian Services PMI,Low Impact Expected,48.6,50.0,47.3
3225,EUR,French Final Services PMI,Low Impact Expected,50.4,50.4,50.3
3226,EUR,German Final Services PMI,Low Impact Expected,50.1,50.1,49.9
3227,EUR,Final Services PMI,Low Impact Expected,50.3,50.3,50.5
3228,EUR,PPI m/m,Low Impact Expected,0.5%,1.1%,1.1%
3229,GBP,10-y Bond Auction,Low Impact Expected,0.89|3.0,,0.92|2.7
3230,USD,ADP Non-Farm Employment Change,Medium Impact Expected,565K,872K,742K
3231,USD,FOMC Member Evans Speaks,Low Impact Expected,,,
3232,USD,Final Services PMI,Low Impact Expected,63.1,63.1,64.7
3233,USD,ISM Services PMI,Medium Impact Expected,63.7,64.2,62.7
3234,USD,Crude Oil Inventories,Medium Impact Expected,0.1M,-1.9M,-8.0M
3235,USD,FOMC Member Evans Speaks,Low Impact Expected,,,
3236,NZD,RBNZ Financial Stability Report,Medium Impact Expected,,,
3237,AUD,AIG Construction Index,Low Impact Expected,61.8,,59.1
3238,NZD,Employment Change q/q,High Impact Expected,0.6%,0.3%,0.6%
3239,NZD,Unemployment Rate,High Impact Expected,4.9%,4.9%,4.7%
3240,NZD,Labor Cost Index q/q,Low Impact Expected,0.5%,0.3%,0.4%
3241,JPY,Bank Holiday,Non-Economic,,,
3242,CNY,Bank Holiday,Non-Economic,,,
3243,NZD,ANZ Commodity Prices m/m,Low Impact Expected,6.1%,,2.3%
3244,AUD,Building Approvals m/m,Low Impact Expected,20.1%,2.9%,17.4%
3245,CHF,CPI m/m,Low Impact Expected,0.3%,0.2%,0.2%
3246,EUR,Spanish Unemployment Change,Low Impact Expected,-59.1K,-70.0K,-39.0K
3247,EUR,Spanish Services PMI,Low Impact Expected,48.1,50.0,54.6
3248,EUR,Italian Services PMI,Low Impact Expected,48.6,50.0,47.3
3249,EUR,French Final Services PMI,Low Impact Expected,50.4,50.4,50.3
3250,EUR,German Final Services PMI,Low Impact Expected,50.1,50.1,49.9
3251,EUR,Final Services PMI,Low Impact Expected,50.3,50.3,50.5
3252,EUR,PPI m/m,Low Impact Expected,0.5%,1.1%,1.1%
3253,GBP,10-y Bond Auction,Low Impact Expected,0.89|3.0,,0.92|2.7
3254,USD,ADP Non-Farm Employment Change,Medium Impact Expected,565K,872K,742K
3255,USD,FOMC Member Evans Speaks,Low Impact Expected,,,
3256,USD,Final Services PMI,Low Impact Expected,63.1,63.1,64.7
3257,USD,ISM Services PMI,Medium Impact Expected,63.7,64.2,62.7
3258,USD,Crude Oil Inventories,Medium Impact Expected,0.1M,-1.9M,-8.0M
3259,USD,FOMC Member Evans Speaks,Low Impact Expected,,,
3260,NZD,Building Consents m/m,Low Impact Expected,-19.3%,,17.9%
3261,JPY,Monetary Policy Meeting Minutes,Low Impact Expected,,,
3262,NZD,Prelim ANZ Business Confidence,Medium Impact Expected,-2.0,,7.0
3263,EUR,German Factory Orders m/m,Low Impact Expected,1.4%,1.5%,3.0%
3264,EUR,ECB Economic Bulletin,Low Impact Expected,,,
3265,GBP,Final Services PMI,Medium Impact Expected,60.1,60.2,61.0
3266,EUR,Spanish 10-y Bond Auction,Low Impact Expected,0.37|1.9,,0.43|1.6
3267,EUR,French 10-y Bond Auction,Low Impact Expected,0.00|1.7,,0.13|1.7
3268,AUD,RBA Deputy Gov Debelle Speaks,Low Impact Expected,,,
3269,EUR,Retail Sales m/m,Low Impact Expected,4.2%,1.5%,2.7%
3270,GBP,Asset Purchase Facility,High Impact Expected,875B,875B,875B
3271,GBP,BOE Monetary Policy Report,High Impact Expected,,,
3272,GBP,Monetary Policy Summary,High Impact Expected,,,
3273,GBP,MPC Asset Purchase Facility Votes,High Impact Expected,0-0-9,0-0-9,0-1-8
3274,GBP,BOE Inflation Letter,Medium Impact Expected,,,
3275,GBP,MPC Official Bank Rate Votes,Medium Impact Expected,0-0-9,0-0-9,0-0-9
3276,GBP,Official Bank Rate,Medium Impact Expected,0.10%,0.10%,0.10%
3277,EUR,ECB President Lagarde Speaks,Medium Impact Expected,,,
3278,USD,Challenger Job Cuts y/y,Low Impact Expected,-86.2%,,-96.6%
3279,GBP,BOE Gov Bailey Speaks,High Impact Expected,,,
3280,USD,Unemployment Claims,Medium Impact Expected,590K,540K,498K
3281,USD,Prelim Nonfarm Productivity q/q,Low Impact Expected,-4.2%,4.3%,5.4%
3282,USD,Prelim Unit Labor Costs q/q,Low Impact Expected,6.0%,-1.1%,-0.3%
3283,USD,FOMC Member Williams Speaks,Low Impact Expected,,,
3284,USD,Natural Gas Storage,Low Impact Expected,15B,68B,60B
3285,USD,FOMC Member Bostic Speaks,Low Impact Expected,,,
3286,USD,FOMC Financial Stability Report,Low Impact Expected,,,
3287,NZD,Building Consents m/m,Low Impact Expected,-19.3%,,17.9%
3288,JPY,Monetary Policy Meeting Minutes,Low Impact Expected,,,
3289,NZD,Prelim ANZ Business Confidence,Medium Impact Expected,-2.0,,7.0
3290,EUR,German Factory Orders m/m,Low Impact Expected,1.4%,1.5%,3.0%
3291,EUR,ECB Economic Bulletin,Low Impact Expected,,,
3292,GBP,Final Services PMI,Medium Impact Expected,60.1,60.2,61.0
3293,EUR,Spanish 10-y Bond Auction,Low Impact Expected,0.37|1.9,,0.43|1.6
3294,EUR,French 10-y Bond Auction,Low Impact Expected,0.00|1.7,,0.13|1.7
3295,AUD,RBA Deputy Gov Debelle Speaks,Low Impact Expected,,,
3296,EUR,Retail Sales m/m,Low Impact Expected,4.2%,1.5%,2.7%
3297,GBP,Asset Purchase Facility,High Impact Expected,875B,875B,875B
3298,GBP,BOE Monetary Policy Report,High Impact Expected,,,
3299,GBP,Monetary Policy Summary,High Impact Expected,,,
3300,GBP,MPC Asset Purchase Facility Votes,High Impact Expected,0-0-9,0-0-9,0-1-8
3301,GBP,BOE Inflation Letter,Medium Impact Expected,,,
3302,GBP,MPC Official Bank Rate Votes,Medium Impact Expected,0-0-9,0-0-9,0-0-9
3303,GBP,Official Bank Rate,Medium Impact Expected,0.10%,0.10%,0.10%
3304,EUR,ECB President Lagarde Speaks,Medium Impact Expected,,,
3305,USD,Challenger Job Cuts y/y,Low Impact Expected,-86.2%,,-96.6%
3306,GBP,BOE Gov Bailey Speaks,High Impact Expected,,,
3307,USD,Unemployment Claims,Medium Impact Expected,590K,540K,498K
3308,USD,Prelim Nonfarm Productivity q/q,Low Impact Expected,-4.2%,4.3%,5.4%
3309,USD,Prelim Unit Labor Costs q/q,Low Impact Expected,6.0%,-1.1%,-0.3%
3310,USD,FOMC Member Williams Speaks,Low Impact Expected,,,
3311,USD,Natural Gas Storage,Low Impact Expected,15B,68B,60B
3312,USD,FOMC Member Bostic Speaks,Low Impact Expected,,,
3313,USD,FOMC Financial Stability Report,Low Impact Expected,,,
3314,AUD,AIG Services Index,Low Impact Expected,58.7,,61.0
3315,JPY,Average Cash Earnings y/y,Low Impact Expected,-0.4%,-0.2%,0.2%
3316,JPY,Monetary Base y/y,Low Impact Expected,20.8%,21.4%,24.3%
3317,AUD,RBA Monetary Policy Statement,Medium Impact Expected,,,
3318,CNY,Caixin Services PMI,Low Impact Expected,54.3,54.2,56.3
3319,NZD,Inflation Expectations q/q,Medium Impact Expected,1.89%,,2.05%
3320,CNY,Trade Balance,Low Impact Expected,88B,130B,277B
3321,CNY,USD-Denominated Trade Balance,Low Impact Expected,13.8B,28.0B,42.9B
3322,CHF,Unemployment Rate,Low Impact Expected,3.3%,3.3%,3.1%
3323,EUR,German Industrial Production m/m,Low Impact Expected,-1.9%,2.1%,2.5%
3324,EUR,German Trade Balance,Low Impact Expected,18.9B,22.3B,14.3B
3325,EUR,French Industrial Production m/m,Low Impact Expected,-4.8%,2.1%,0.8%
3326,EUR,French Prelim Private Payrolls q/q,Low Impact Expected,-0.1%,-0.2%,0.3%
3327,EUR,French Trade Balance,Low Impact Expected,-5.1B,-5.4B,-6.1B
3328,CHF,Foreign Currency Reserves,Low Impact Expected,930B,,914B
3329,EUR,Italian Retail Sales m/m,Low Impact Expected,5.9%,-0.6%,-0.1%
3330,GBP,Construction PMI,Low Impact Expected,61.7,62.0,61.6
3331,EUR,ECB President Lagarde Speaks,Medium Impact Expected,,,
3332,GBP,MPC Member Broadbent Speaks,Medium Impact Expected,,,
3333,CAD,Employment Change,High Impact Expected,303.1K,-160.5K,-207.1K
3334,CAD,Unemployment Rate,High Impact Expected,7.5%,7.8%,8.1%
3335,USD,Average Hourly Earnings m/m,High Impact Expected,-0.1%,0.0%,0.7%
3336,USD,Non-Farm Employment Change,High Impact Expected,770K,990K,266K
3337,USD,Unemployment Rate,High Impact Expected,6.0%,5.8%,6.1%
3338,USD,FOMC Member Barkin Speaks,Low Impact Expected,,,
3339,CAD,Ivey PMI,Medium Impact Expected,72.9,67.0,60.6
3340,USD,Final Wholesale Inventories m/m,Low Impact Expected,1.4%,1.4%,1.3%
3341,USD,Mortgage Delinquencies,Low Impact Expected,6.73%,,6.38%
3342,USD,President Biden Speaks,Low Impact Expected,,,
3343,USD,Treasury Sec Yellen Speaks,High Impact Expected,,,
3344,USD,Consumer Credit m/m,Low Impact Expected,26.1B,19.5B,25.8B
3345,AUD,AIG Services Index,Low Impact Expected,58.7,,61.0
3346,JPY,Average Cash Earnings y/y,Low Impact Expected,-0.4%,-0.2%,0.2%
3347,JPY,Monetary Base y/y,Low Impact Expected,20.8%,21.4%,24.3%
3348,AUD,RBA Monetary Policy Statement,Medium Impact Expected,,,
3349,CNY,Caixin Services PMI,Low Impact Expected,54.3,54.2,56.3
3350,NZD,Inflation Expectations q/q,Medium Impact Expected,1.89%,,2.05%
3351,CNY,Trade Balance,Low Impact Expected,88B,130B,277B
3352,CNY,USD-Denominated Trade Balance,Low Impact Expected,13.8B,28.0B,42.9B
3353,CHF,Unemployment Rate,Low Impact Expected,3.3%,3.3%,3.1%
3354,EUR,German Industrial Production m/m,Low Impact Expected,-1.9%,2.1%,2.5%
3355,EUR,German Trade Balance,Low Impact Expected,18.9B,22.3B,14.3B
3356,EUR,French Industrial Production m/m,Low Impact Expected,-4.8%,2.1%,0.8%
3357,EUR,French Prelim Private Payrolls q/q,Low Impact Expected,-0.1%,-0.2%,0.3%
3358,EUR,French Trade Balance,Low Impact Expected,-5.1B,-5.4B,-6.1B
3359,CHF,Foreign Currency Reserves,Low Impact Expected,930B,,914B
3360,EUR,Italian Retail Sales m/m,Low Impact Expected,5.9%,-0.6%,-0.1%
3361,GBP,Construction PMI,Low Impact Expected,61.7,62.0,61.6
3362,EUR,ECB President Lagarde Speaks,Medium Impact Expected,,,
3363,GBP,MPC Member Broadbent Speaks,Medium Impact Expected,,,
3364,CAD,Employment Change,High Impact Expected,303.1K,-160.5K,-207.1K
3365,CAD,Unemployment Rate,High Impact Expected,7.5%,7.8%,8.1%
3366,USD,Average Hourly Earnings m/m,High Impact Expected,-0.1%,0.0%,0.7%
3367,USD,Non-Farm Employment Change,High Impact Expected,770K,990K,266K
3368,USD,Unemployment Rate,High Impact Expected,6.0%,5.8%,6.1%
3369,USD,FOMC Member Barkin Speaks,Low Impact Expected,,,
3370,CAD,Ivey PMI,Medium Impact Expected,72.9,67.0,60.6
3371,USD,Final Wholesale Inventories m/m,Low Impact Expected,1.4%,1.4%,1.3%
3372,USD,Mortgage Delinquencies,Low Impact Expected,6.73%,,6.38%
3373,USD,President Biden Speaks,Low Impact Expected,,,
3374,USD,Treasury Sec Yellen Speaks,High Impact Expected,,,
3375,USD,Consumer Credit m/m,Low Impact Expected,26.1B,19.5B,25.8B
3376,AUD,NAB Business Confidence,Low Impact Expected,17,,26
3377,GBP,Halifax HPI m/m,Low Impact Expected,1.1%,0.3%,1.4%
3378,EUR,Sentix Investor Confidence,Low Impact Expected,13.1,14.9,21.0
3379,USD,President Biden Speaks,Low Impact Expected,,,
3380,USD,FOMC Member Evans Speaks,Low Impact Expected,,,
3381,AUD,NAB Business Confidence,Low Impact Expected,17,,26
3382,GBP,Halifax HPI m/m,Low Impact Expected,1.1%,0.3%,1.4%
3383,EUR,Sentix Investor Confidence,Low Impact Expected,13.1,14.9,21.0
3384,USD,President Biden Speaks,Low Impact Expected,,,
3385,USD,FOMC Member Evans Speaks,Low Impact Expected,,,
3386,GBP,BRC Retail Sales Monitor y/y,Low Impact Expected,20.3%,9.3%,39.6%
3387,JPY,Household Spending y/y,Low Impact Expected,-6.6%,1.4%,6.2%
3388,JPY,BOJ Summary of Opinions,Low Impact Expected,,,
3389,CNY,CPI y/y,Low Impact Expected,0.4%,1.0%,0.9%
3390,CNY,PPI y/y,Low Impact Expected,4.4%,6.5%,6.8%
3391,JPY,10-y Bond Auction,Low Impact Expected,0.12|3.5,,0.07|3.0
3392,EUR,German WPI m/m,Low Impact Expected,1.7%,1.8%,1.1%
3393,EUR,Italian Industrial Production m/m,Low Impact Expected,0.1%,0.5%,-0.1%
3394,EUR,ZEW Economic Sentiment,Low Impact Expected,66.3,68.0,84.0
3395,EUR,German ZEW Economic Sentiment,Low Impact Expected,70.7,72.0,84.4
3396,AUD,Annual Budget Release,Medium Impact Expected,,,
3397,USD,NFIB Small Business Index,Low Impact Expected,98.2,100.7,99.8
3398,USD,JOLTS Job Openings,Low Impact Expected,7.53M,7.50M,8.12M
3399,GBP,BOE Gov Bailey Speaks,High Impact Expected,,,
3400,USD,FOMC Member Williams Speaks,Low Impact Expected,,,
3401,USD,FOMC Member Brainard Speaks,Low Impact Expected,,,
3402,USD,FOMC Member Daly Speaks,Low Impact Expected,,,
3403,USD,FOMC Member Bostic Speaks,Low Impact Expected,,,
3404,GBP,BRC Retail Sales Monitor y/y,Low Impact Expected,20.3%,9.3%,39.6%
3405,JPY,Household Spending y/y,Low Impact Expected,-6.6%,1.4%,6.2%
3406,JPY,BOJ Summary of Opinions,Low Impact Expected,,,
3407,CNY,CPI y/y,Low Impact Expected,0.4%,1.0%,0.9%
3408,CNY,PPI y/y,Low Impact Expected,4.4%,6.5%,6.8%
3409,JPY,10-y Bond Auction,Low Impact Expected,0.12|3.5,,0.07|3.0
3410,EUR,German WPI m/m,Low Impact Expected,1.7%,1.8%,1.1%
3411,EUR,Italian Industrial Production m/m,Low Impact Expected,0.1%,0.5%,-0.1%
3412,EUR,ZEW Economic Sentiment,Low Impact Expected,66.3,68.0,84.0
3413,EUR,German ZEW Economic Sentiment,Low Impact Expected,70.7,72.0,84.4
3414,AUD,Annual Budget Release,Medium Impact Expected,,,
3415,USD,NFIB Small Business Index,Low Impact Expected,98.2,100.7,99.8
3416,USD,JOLTS Job Openings,Low Impact Expected,7.53M,7.50M,8.12M
3417,GBP,BOE Gov Bailey Speaks,High Impact Expected,,,
3418,USD,FOMC Member Williams Speaks,Low Impact Expected,,,
3419,USD,FOMC Member Brainard Speaks,Low Impact Expected,,,
3420,USD,FOMC Member Daly Speaks,Low Impact Expected,,,
3421,USD,FOMC Member Bostic Speaks,Low Impact Expected,,,
3422,JPY,Leading Indicators,Low Impact Expected,98.7%,102.8%,103.2%
3423,EUR,German Final CPI m/m,Low Impact Expected,0.7%,0.7%,0.7%
3424,GBP,Prelim GDP q/q,Medium Impact Expected,1.3%,-1.6%,-1.5%
3425,GBP,Construction Output m/m,Low Impact Expected,2.3%,1.1%,5.8%
3426,GBP,GDP m/m,Low Impact Expected,0.7%,1.5%,2.1%
3427,GBP,Goods Trade Balance,Low Impact Expected,-10.5B,-14.2B,-11.7B
3428,GBP,Index of Services 3m/3m,Low Impact Expected,-2.1%,-1.7%,-2.0%
3429,GBP,Industrial Production m/m,Low Impact Expected,1.0%,1.0%,1.8%
3430,GBP,Manufacturing Production m/m,Low Impact Expected,1.5%,1.0%,2.1%
3431,GBP,Prelim Business Investment q/q,Low Impact Expected,5.9%,-2.5%,-11.9%
3432,EUR,French Final CPI m/m,Low Impact Expected,0.2%,0.2%,0.1%
3433,CNY,M2 Money Supply y/y,Low Impact Expected,9.4%,9.2%,8.1%
3434,CNY,New Loans,Low Impact Expected,2730B,1575B,1470B
3435,EUR,EU Economic Forecasts,Medium Impact Expected,,,
3436,EUR,Industrial Production m/m,Low Impact Expected,-1.2%,0.8%,0.1%
3437,USD,Core CPI m/m,High Impact Expected,0.3%,0.3%,0.9%
3438,USD,CPI m/m,High Impact Expected,0.6%,0.2%,0.8%
3439,USD,CPI y/y,High Impact Expected,2.6%,3.6%,4.2%
3440,GBP,NIESR GDP Estimate,Low Impact Expected,-1.5%,,1.3%
